As_of_Year,Respondent_ID,Agency_Code,Respondent_Name_TS,Respondent_City_TS,Respondent_State_TS,Respondent_ZIP_Code,Parent_Name_TS,Parent_City_TS,Parent_State_TS,Parent_ZIP_Code,Assets_000_Panel
2012,5785509997,7,GATEWAY MORTGAGE CORPORATION,KENOSHA,WI,53141,GATEWAY MORTGAGE CORPORATION,KENOSHA,WI,53141,10000
2012,58-1832516,7,TERRACE MORTGAGE COMPANY,ATLANTA,GA,30338,,,,,40450
2012,58-1865166,7,GREYSTONE SERVICING CORPORATIO,WARRENTON,VA,20186,,,,,260119
2012,58-1880519,7,SOUTHERN CRESCENT MORTGAGE,FAYETTEVILLE,GA,30214,,,,,10000
2012,58-2059073,7,"SOUTHEAST MORTGAGE OF GA, INC.",LAWRENCEVILLE,GA,30044,,,,,10000
2012,58-2200634,7,"MILEND, INC",ATLANTA,GA,30338,,,,,10000
2012,58-2307082,7,TOWN SQUARE MORTGAGE & INVESTM,PLANO,TX,75093,,,,,1000000
2012,58-2363251,7,"SOUTHPOINT FINANCIAL SERVICES,",ALPHARETTA,GA,30005,,,,,40000
2012,58-2419109,7,SILVERTON MORTGAGE SPECIALISTS,ATLANTA,GA,30306,,,,,10000
2012,58-2425019,7,HOMEOWNERS MORTGAGE OF AMERICA,JACKSONVILLE,FL,32202,,,,,10000
2012,58-2440506,7,BANKLINE MORTGAGE CORPORATION,GREENVILLE,SC,29601,,,,,495
2012,58-2442998,7,RESIDENTIAL ACCEPTANCE CORPORA,TAMPA,FL,33609,,,,,10000
2012,58-2546090,7,LSI MORTGAGE PLUS,DULUTH,GA,30097,LSI MORTGAGE-PLUS,DULUTH,GA,30097,1704
2012,58-2551505,7,"SOUTHERN HIGHLANDS MORTGAGE, L",BLAIRSVILLE,GA,30512,,,,,10000
2012,59-0701313,7,MCCAUGHAN MORTGAGE COMPANY INC,MIAMI,FL,33173,,,,,10000
2012,59-2472569,7,"HOME FINANCING CENTER, INC.",CORAL GABLES,FL,33134,,,,,24740
2012,59-3225526,7,FIDELITY FUNDING MORTGAGE CORP,MAITLAND,FL,32751,,,,,10000
2012,61-1140597,7,MORTGAGE NETWORK INC.,LOUISVILLE,KY,40223,,,,,100000
2012,61-1154657,7,"RIVER VALLEY AGCREDIT, ACA",MAYFIELD,KY,42066-0309,,,,,300098
2012,61-1306242,7,CENT MTG CO DBA CENTURY LEND,LOUISVILLE,KY,40223,,,,,42141
2012,61-1355156,7,FARM CREDIT SERVICES OF MIDAM,LOUISVILLE,KY,40232,,,,,10000
2012,61-1392032,7,STOCKTON MORTGAGE CORPORATION,FRANKFORT,KY,40601,,,,,10000
2012,61-1392130,7,CGB AGRI FINANCIAL SERVICES,LOUISVILLE,KY,40206,CGB ENTERPRISES,MANDEVILLE,LA,70470,433538
2012,61-1645461,7,ATLANTIC COAST MORTGAGE LLC,FAIRFAX,VA,22030,,,,,12751
2012,62-0997810,7,VANDERBILT MORTGAGE,MARYVILLE,TN,37804,,,,,31000
2012,62-1494087,7,CHURCHILL MORTGAGE CORPORATION,BRENTWOOD,TN,37027,,,,,10000
2012,62-1532940,7,FRANKLIN AMERICAN MORTGAGE CO,FRANKLIN,TN,37067,,,,,10000
2012,62-1796508,7,"LENDERLIVE NETWORK, INC.",GLENDALE,CO,80246,,,,,17900
